"O89996","Dog","The Running Spaniel","2006AF4886"
"O1240236","Soft toy","The Running Spaniel","2011EW4206"
"O69349","Oil painting","Lion: A Newfoundland Dog","2006AU1447"
"O311514","Statuette","Scratching Pug Dog","2016JA7254"
"O77828","Figure","Hogarth's Dog, Trump","2006AT0614"
"O185475","Figure of a dog","Hogarth's Dog, Trump","2009CT0655"
"O96454","Model dog","Hogarth's Dog, Trump","2006AF4421"
"O134420","Oil painting","Two Studies of a Dog","2007BP1515"
"O36979","Mechanical dog","Two Studies of a Dog","2006AF4198"
"O314603","Statue","A seated Dog ","2016JC7374"
"O16885","Painting","Two dogs in the compound of a Calcutta house","2011EU0997"
"O314602","Statue","A seated Dog","2016JC7378"
"O72768","Relief","Ram and a dog","2006AM6666"
"O1294937","Watercolour","Sketch of a dog","2023NP7751"
"O833891","Drawing","Sketch of a dog","2018LF2451"
"O133870","Oil painting","The Reverend Townshend's Dog","2007BP0657"
"O72972","Oil painting","Comical Dogs","2006AT0494"
"O117771","Watercolour","A dog watching a rat in the water at Dedham","2023NP5551"
"O16527","Oil painting","The Twa Dogs","2006AN6831"
"O133908","Oil painting","The Dog and the Shadow","2007BP0743"
"O494223","Figure of dog","The Dog and the Shadow","2009CR3119"
"O494212","Figure of dog","The Dog and the Shadow","2009CR3129"
"O915963","Print","Regimental Pets","2010EC7602"
"O1155166","Figure of dog","Regimental Pets","2009CR3128"
"O594419","Drawing","Study of two sleeping dogs","2017KN0816"
"O101345","Rug","Komitik and Dogs","2021MY2466"
"O72971","Statuette","Mastiff","2006AM7274"
"O165885","Figure","Pug dog","2009CR7126"
"O954456","Print","The Thibet Dog","2010EC7292"
"O165884","Figure","Pug dog","2010CT4979"
"O1257911","Watercolour","Watercolour of a dog","2024NW6595"
"O1106001","Print","The Greenland Dog","2016JF3394"
"O97313","Figure","The Greenland Dog","2006BB4154"
"O1176892","Drawing","Ecorche drawing of a dog","2011EU9902"
"O1259770","Print","Dogs and Rabbits","2019LL1286"
"O1259773","Print","The Beggar","2019LL1290"
"O1407055","Watercolour","Side view of a dog, 'Kep'","2017KB6209"
"O1259772","Print","The Frog","2019LL1287"
"O594437","Drawing","Study of sleeping dog","2017KN0609"
"O1259776","Print","The Two Pet Dogs","2019LL1291"
"O1259765","Print","A Deer Hound","2019LL1283"
"O154910","Sculpture","Hound Dog","2006AY9394"
"O1110277","Print","The Lion Dog from Malta, the last of his tribe","2020ML1285"
"O1259767","Print","A Deer Hound","2019LL1284"
"O1509934","sculpture","A Deer Hound","2016JE5711"
"O1104418","Design","A Deer Hound","2017JV6339"
"O886191","Print","Graphic Illustrations of Animals.","2010EC7553"
"O80750","Statuette","Greyhound","2016JB4653"
"O161517","Figure","Greyhound","2009CD2745"
"O80751","Statuette","Greyhound","2016JC5669"
"O113349","Miniature figure of dog","Greyhound","2010EB7894"
"O1461849","Photograph","A portrait of a woman and dog","2018LF7717"
"O1487511","sculpture","A portrait of a woman and dog","2021MX5334"
